source_id,raison_sociale,pays_declare_brut,pays_declare_normalise,numero_tva_brut,numero_tva_nettoye,structure_reason,human_review_reason
168,Granit Trading BV,DK,DK,DK663574817,DK663574817,format_invalide,Numero nettoye non conforme au format attendu pour le pays
169,Lumen Foods SpA,IT,IT,IT1890180302,IT1890180302,format_invalide,Numero nettoye non conforme au format attendu pour le pays
181,Alpine Services Lda,IT,IT,33139885439,33139885439,format_invalide,Numero nettoye non conforme au format attendu pour le pays
183,Global Materials BV,UK,UK,UK558680011,UK558680011,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
184,Vertex Logistics SA,SE,SE,SE9682668794H1,SE9682668794H1,format_invalide,Numero nettoye non conforme au format attendu pour le pays
189,Corvus Consulting NV,IT,IT,88838354509,88838354509,format_invalide,Numero nettoye non conforme au format attendu pour le pays
191,Ardent Consulting GmbH,PL,PL,PL599561905,PL599561905,format_invalide,Numero nettoye non conforme au format attendu pour le pays
193,Prima Transports GmbH,PL,PL,PL93184850G3,PL93184850G3,format_invalide,Numero nettoye non conforme au format attendu pour le pays
195,Prima Consulting Sp. z o.o.,SE,SE,107327005801,107327005801,format_invalide,Numero nettoye non conforme au format attendu pour le pays
200,Global Services GmbH,BE,BE,BE-183858570,BE183858570,format_invalide,Numero nettoye non conforme au format attendu pour le pays
210,Hanse Trading AB,FR,FR,FR876M3653073,FR876M3653073,format_invalide,Numero nettoye non conforme au format attendu pour le pays
212,Delta Consulting A/S,LU,LU,LU893H3823,LU893H3823,format_invalide,Numero nettoye non conforme au format attendu pour le pays
214,Global Trading NV,DK,DK,DK9253M010,DK9253M010,format_invalide,Numero nettoye non conforme au format attendu pour le pays
215,Metallo Transports SARL,DK,DK,DK859008M6,DK859008M6,format_invalide,Numero nettoye non conforme au format attendu pour le pays
217,Delta Foods SpA,ZZ,ZZ,ZZ10353874,ZZ10353874,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
230,Lusitania Transports SARL,ZZ,ZZ,zz23140153,ZZ23140153,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
236,Papyrus Industries Sp. z o.o.,XX,XX,XX06179453771,XX06179453771,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
247,Atlantic Transports GmbH,PL,PL,5112134613,5112134613,format_invalide,Numero nettoye non conforme au format attendu pour le pays
250,Textil Materials SAS,PL,PL,PL28234607426,PL28234607426,format_invalide,Numero nettoye non conforme au format attendu pour le pays
252,Meridian Trading SAS,FI,FI,FI221839011,FI221839011,format_invalide,Numero nettoye non conforme au format attendu pour le pays
253,Ardent Foods GmbH,ZZ,ZZ,ZZ74937799,ZZ74937799,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
255,Hanse Technologies NV,SE,SE,SE3660K1902001,SE3660K1902001,format_invalide,Numero nettoye non conforme au format attendu pour le pays
256,Solaris Distribution Lda,UK,UK,UK1896323373,UK1896323373,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
260,Textil Trading Sp. z o.o.,LU,LU,75041556,75041556,format_invalide,Numero nettoye non conforme au format attendu pour le pays
262,Corvus Distribution SpA,BE,BE,0572894866,0572894866,format_invalide,Numero nettoye non conforme au format attendu pour le pays
264,Ardent Industries Sp. z o.o.,IT,IT,09184526433,09184526433,format_invalide,Numero nettoye non conforme au format attendu pour le pays
266,Verso Distribution GmbH,NL,NL,NL11178588MB30,NL11178588MB30,format_invalide,Numero nettoye non conforme au format attendu pour le pays
268,Delta Foods Lda,IT,IT,,,numero_tva_absent,Numero TVA absent
270,Global Consulting SAS,LU,LU,22312502,22312502,format_invalide,Numero nettoye non conforme au format attendu pour le pays
276,Vela Logistics Lda,PL,PL,PL1808H15136,PL1808H15136,format_invalide,Numero nettoye non conforme au format attendu pour le pays
280,Metallo Transports BV,FR,FR,FR305495935677,FR305495935677,format_invalide,Numero nettoye non conforme au format attendu pour le pays
282,Global Industries Oy,FR,FR,FR2216648349,FR2216648349,format_invalide,Numero nettoye non conforme au format attendu pour le pays
288,Global Transports SAS,PL,PL,PL659568896,PL659568896,format_invalide,Numero nettoye non conforme au format attendu pour le pays
294,Solaris Services NV,LU,LU,13176343,13176343,format_invalide,Numero nettoye non conforme au format attendu pour le pays
300,Granit Logistics SARL,BE,BE,BE05996194555,BE05996194555,format_invalide,Numero nettoye non conforme au format attendu pour le pays
302,Orion Consulting Sp. z o.o.,IT,IT,40342102486,40342102486,format_invalide,Numero nettoye non conforme au format attendu pour le pays
309,Azur Technologies GmbH,FR,FR,25167984184,25167984184,format_invalide,Numero nettoye non conforme au format attendu pour le pays
310,Orion Transports Oy,LU,LU,LU3620G412,LU3620G412,format_invalide,Numero nettoye non conforme au format attendu pour le pays
312,Orion Foods A/S,PT,PT,PT3787985371,PT3787985371,format_invalide,Numero nettoye non conforme au format attendu pour le pays
319,Papyrus Industries SA,BE,BE,0282330178,0282330178,format_invalide,Numero nettoye non conforme au format attendu pour le pays
322,Delta Services BV,XX,XX,XX8849308444,XX8849308444,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
324,Baltic Materials Oy,LU,LU,LU9271210,LU9271210,format_invalide,Numero nettoye non conforme au format attendu pour le pays
326,Atlantic Foods A/S,LU,LU,66781043,66781043,format_invalide,Numero nettoye non conforme au format attendu pour le pays
335,Orion Industries GmbH,GB,GB,GB50379703197,GB50379703197,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
347,Kappa Services SAS,IT,IT,IT859502090579,IT859502090579,format_invalide,Numero nettoye non conforme au format attendu pour le pays
348,Granit Foods SA,UK,UK,UK2219574655,UK2219574655,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
349,Global Industries Sp. z o.o.,PT,PT,PT87482735J,PT87482735J,format_invalide,Numero nettoye non conforme au format attendu pour le pays
350,Textil Foods SA,ZZ,ZZ,ZZ0177743788,ZZ0177743788,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
351,Delta Logistics SpA,IT,IT,IT1075410979,IT1075410979,format_invalide,Numero nettoye non conforme au format attendu pour le pays
358,Lumen Trading SARL,SE,SE,SE39O573960001,SE39O573960001,format_invalide,Numero nettoye non conforme au format attendu pour le pays
363,Papyrus Technologies Lda,IT,IT,92121081050,92121081050,format_invalide,Numero nettoye non conforme au format attendu pour le pays
368,Meridian Industries A/S,NL,NL, ,,numero_tva_absent,Numero TVA absent
376,Ardent Services SpA,FI,FI,FI0282040,FI0282040,format_invalide,Numero nettoye non conforme au format attendu pour le pays
378,Baltic Foods NV,FI,FI,-,,numero_tva_absent,Numero TVA absent
381,Meridian Consulting Lda,PT,PT,PT9580527197,PT9580527197,format_invalide,Numero nettoye non conforme au format attendu pour le pays
382,Meridian Industries NV,PL,PL,PL870679096,PL870679096,format_invalide,Numero nettoye non conforme au format attendu pour le pays
393,Lusitania Consulting Sp. z o.o.,SE,SE,188339040101,188339040101,format_invalide,Numero nettoye non conforme au format attendu pour le pays
394,Vertex Technologies BV,UK,UK,UK13271593,UK13271593,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
397,Vela Distribution Lda,FI,FI,FI98442H47,FI98442H47,format_invalide,Numero nettoye non conforme au format attendu pour le pays
401,Vela Logistics Oy,PT,PT,PT15638819,PT15638819,format_invalide,Numero nettoye non conforme au format attendu pour le pays
407,Ardent Materials SARL,FI,FI,FI943097619,FI943097619,format_invalide,Numero nettoye non conforme au format attendu pour le pays
410,Lusitania Technologies Oy,PT,PT,264823940,264823940,format_invalide,Numero nettoye non conforme au format attendu pour le pays
411,Prima Materials Lda,SE,SE,318962345101,318962345101,format_invalide,Numero nettoye non conforme au format attendu pour le pays
414,Cobalt Industries GmbH,SE,SE,SE6252247934017,SE6252247934017,format_invalide,Numero nettoye non conforme au format attendu pour le pays
416,Prima Services Oy,XX,XX,XX57846588598,XX57846588598,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
421,Baltic Transports SpA,IT,IT,null,NULL,numero_tva_absent,Numero TVA absent
427,Meridian Technologies Sp. z o.o.,NL,NL,843131032B77,843131032B77,format_invalide,Numero nettoye non conforme au format attendu pour le pays
429,Baltic Consulting SAS,GB,GB,GB983761159,GB983761159,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
436,Atlantic Materials AB,SE,SE,SE5123K3631201,SE5123K3631201,format_invalide,Numero nettoye non conforme au format attendu pour le pays
441,Baltic Transports GmbH,IT,IT,IT19625M10266,IT19625M10266,format_invalide,Numero nettoye non conforme au format attendu pour le pays
447,Batavia Foods Oy,BE,BE,BE027570666,BE027570666,format_invalide,Numero nettoye non conforme au format attendu pour le pays
448,Lusitania Transports Oy,FI,FI,FI1J419039,FI1J419039,format_invalide,Numero nettoye non conforme au format attendu pour le pays
449,Vertex Materials GmbH,PT,PT,PT9734988541,PT9734988541,format_invalide,Numero nettoye non conforme au format attendu pour le pays
456,Batavia Trading GmbH,IT,IT,IT2170405537,IT2170405537,format_invalide,Numero nettoye non conforme au format attendu pour le pays
459,Papyrus Logistics A/S,SE,SE,SE6547921566010,SE6547921566010,format_invalide,Numero nettoye non conforme au format attendu pour le pays
462,Verso Consulting SpA,SE,SE,SE9560064835015,SE9560064835015,format_invalide,Numero nettoye non conforme au format attendu pour le pays
463,Nord Services Lda,PL,PL,PL56392099417,PL56392099417,format_invalide,Numero nettoye non conforme au format attendu pour le pays
464,Global Consulting SA,SE,SE,574057769601,574057769601,format_invalide,Numero nettoye non conforme au format attendu pour le pays
465,Meridian Logistics SAS,PT,PT,PT1851114326,PT1851114326,format_invalide,Numero nettoye non conforme au format attendu pour le pays
470,Baltic Foods SARL,IT,IT,63884054741,63884054741,format_invalide,Numero nettoye non conforme au format attendu pour le pays
472,Verso Foods A/S,PT,PT,-,,numero_tva_absent,Numero TVA absent
483,Fabrica Industries Sp. z o.o.,PT,PT,238430596,238430596,format_invalide,Numero nettoye non conforme au format attendu pour le pays
485,Lusitania Foods Oy,SE,SE,SE54674K407201,SE54674K407201,format_invalide,Numero nettoye non conforme au format attendu pour le pays
492,Global Materials Lda,FR,FR,FR941072657962,FR941072657962,format_invalide,Numero nettoye non conforme au format attendu pour le pays
494,Fabrica Technologies SAS,PT,PT,686019431,686019431,format_invalide,Numero nettoye non conforme au format attendu pour le pays
498,Azur Logistics A/S,UK,UK,UK4089940044,UK4089940044,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
507,Solaris Trading Lda,LU,LU,null,NULL,numero_tva_absent,Numero TVA absent
515,Papyrus Logistics SA,ZZ,ZZ,ZZ32028219,ZZ32028219,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
516,Fabrica Consulting Lda,NL,NL,160554433B57,160554433B57,format_invalide,Numero nettoye non conforme au format attendu pour le pays
521,Global Trading A/S,QQ,QQ,QQ0637779354,QQ0637779354,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
526,Lusitania Services AB,SE,SE,SE21790929O401,SE21790929O401,format_invalide,Numero nettoye non conforme au format attendu pour le pays
528,Global Trading BV,SE,SE,395554408901,395554408901,format_invalide,Numero nettoye non conforme au format attendu pour le pays
530,Prima Consulting SARL,QQ,QQ,QQ72558658,QQ72558658,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
532,Nord Trading SpA,PT,PT,null,NULL,numero_tva_absent,Numero TVA absent
537,Meridian Services SA,FR,FR,83978048922,83978048922,format_invalide,Numero nettoye non conforme au format attendu pour le pays
539,Papyrus Industries SA,BE,BE,0282330178,0282330178,format_invalide,Numero nettoye non conforme au format attendu pour le pays
540,Delta Trading SARL,FR,FR,FR003433647676,FR003433647676,format_invalide,Numero nettoye non conforme au format attendu pour le pays
542,Metallo Materials Oy,NL,NL,NL0K4394479B41,NL0K4394479B41,format_invalide,Numero nettoye non conforme au format attendu pour le pays
543,Prima Foods BV,ZZ,ZZ,ZZ236109235,ZZ236109235,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
544,Cobalt Technologies GmbH,NL,NL,NL105427135B685,NL105427135B685,format_invalide,Numero nettoye non conforme au format attendu pour le pays
550,Cobalt Transports SA,PL,PL,1151018694,1151018694,format_invalide,Numero nettoye non conforme au format attendu pour le pays
569,Granit Foods Oy,BE,BE,BE044727650,BE044727650,format_invalide,Numero nettoye non conforme au format attendu pour le pays
574,Vela Logistics A/S,BE,BE,BE155785909,BE155785909,format_invalide,Numero nettoye non conforme au format attendu pour le pays
576,Nord Services BV,IT,IT,IT088961045130,IT088961045130,format_invalide,Numero nettoye non conforme au format attendu pour le pays
578,Lusitania Transports Lda,FR,FR,FR0922185G623,FR0922185G623,format_invalide,Numero nettoye non conforme au format attendu pour le pays
581,Metallo Distribution A/S,DK,DK,DK5523382H,DK5523382H,format_invalide,Numero nettoye non conforme au format attendu pour le pays
587,Baltic Industries AB,UK,UK,UK14286084232,UK14286084232,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
591,Fabrica Consulting SpA,ZZ,ZZ,ZZ1545654242,ZZ1545654242,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
595,Ardent Distribution GmbH,ZZ,ZZ,ZZ0932368849,ZZ0932368849,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
602,Corvus Consulting GmbH,PL,PL,PL481853459,PL481853459,format_invalide,Numero nettoye non conforme au format attendu pour le pays
603,Baltic Consulting Sp. z o.o.,FI,FI,FI73681H47,FI73681H47,format_invalide,Numero nettoye non conforme au format attendu pour le pays
604,Metallo Foods BV,NL,NL,NL94106585OB46,NL94106585OB46,format_invalide,Numero nettoye non conforme au format attendu pour le pays
605,Metallo Services Oy,PT,PT,433384956,433384956,format_invalide,Numero nettoye non conforme au format attendu pour le pays
609,Nord Consulting NV,LU,LU,LU512803741,LU512803741,format_invalide,Numero nettoye non conforme au format attendu pour le pays
615,Atlantic Transports SA,FI,FI,FI0310277G,FI0310277G,format_invalide,Numero nettoye non conforme au format attendu pour le pays
616,Solaris Materials SAS,UK,UK,UK52393045,UK52393045,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
623,Alpine Trading SAS,SE,SE,227489464701,227489464701,format_invalide,Numero nettoye non conforme au format attendu pour le pays
624,Alpine Services AB,FR,FR,N/A,NA,numero_tva_absent,Numero TVA absent
625,Ardent Foods AB,ZZ,ZZ,ZZ20474878822,ZZ20474878822,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
627,Global Technologies SpA,PL,PL,PL59034180347,PL59034180347,format_invalide,Numero nettoye non conforme au format attendu pour le pays
630,Lusitania Materials SARL,XX,XX,XX82647147,XX82647147,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
633,Solaris Distribution Sp. z o.o.,IT,IT,IT9004918307H,IT9004918307H,format_invalide,Numero nettoye non conforme au format attendu pour le pays
634,Orion Industries AB,UK,UK,UK81283302006,UK81283302006,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
635,Fabrica Industries SpA,PT,PT,PT6H0268947,PT6H0268947,format_invalide,Numero nettoye non conforme au format attendu pour le pays
636,Global Industries Oy,FR,FR,FR2216648349,FR2216648349,format_invalide,Numero nettoye non conforme au format attendu pour le pays
639,Granit Materials Lda,QQ,QQ,QQ456302906B40,QQ456302906B40,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
645,Ardent Materials A/S,DK,DK,48142036,48142036,format_invalide,Numero nettoye non conforme au format attendu pour le pays
650,Ardent Logistics NV,UK,UK,UK067921461901,UK067921461901,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
658,Vertex Trading SpA,BE,BE,BE11H5207112,BE11H5207112,format_invalide,Numero nettoye non conforme au format attendu pour le pays
663,Papyrus Trading SARL,LU,LU,50324640,50324640,format_invalide,Numero nettoye non conforme au format attendu pour le pays
670,Vertex Distribution Sp. z o.o.,FR,FR,N/A,NA,numero_tva_absent,Numero TVA absent
672,Azur Transports SA,LU,LU,LU2907043H,LU2907043H,format_invalide,Numero nettoye non conforme au format attendu pour le pays
673,Meridian Technologies SpA,IT,IT,65678084248,65678084248,format_invalide,Numero nettoye non conforme au format attendu pour le pays
679,Vertex Trading NV,PT,PT,null,NULL,numero_tva_absent,Numero TVA absent
680,Meridian Distribution SAS,BE,BE,1953621273,1953621273,format_invalide,Numero nettoye non conforme au format attendu pour le pays
683,Textil Trading Oy,PL,PL,PL37905352915,PL37905352915,format_invalide,Numero nettoye non conforme au format attendu pour le pays
687,Lumen Consulting BV,NL,NL,,,numero_tva_absent,Numero TVA absent
691,Papyrus Materials SARL,NL,NL,381581160B69,381581160B69,format_invalide,Numero nettoye non conforme au format attendu pour le pays
692,Global Distribution SpA,UK,UK,UK610812408,UK610812408,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
706,Granit Materials A/S,DK,DK,91565056,91565056,format_invalide,Numero nettoye non conforme au format attendu pour le pays
708,Kappa Transports SpA,NL,NL,NL579516921B155,NL579516921B155,format_invalide,Numero nettoye non conforme au format attendu pour le pays
711,Prima Materials SAS,NL,NL,NL017266270B4,NL017266270B4,format_invalide,Numero nettoye non conforme au format attendu pour le pays
713,Global Industries Sp. z o.o.,FI,FI,94374459,94374459,format_invalide,Numero nettoye non conforme au format attendu pour le pays
714,Cobalt Industries Lda,PT,PT,PT85773111,PT85773111,format_invalide,Numero nettoye non conforme au format attendu pour le pays
716,Lusitania Materials GmbH,LU,LU,LU9473281,LU9473281,format_invalide,Numero nettoye non conforme au format attendu pour le pays
725,Baltic Trading SAS,PL,PL,PL244333J260,PL244333J260,format_invalide,Numero nettoye non conforme au format attendu pour le pays
729,Baltic Industries Sp. z o.o.,ZZ,ZZ,ZZ71233770,ZZ71233770,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
730,Nord Trading SA,FR,FR,FR6948564215,FR6948564215,format_invalide,Numero nettoye non conforme au format attendu pour le pays
731,Orion Services Sp. z o.o.,PL,PL,6723685461,6723685461,format_invalide,Numero nettoye non conforme au format attendu pour le pays
732,Fabrica Foods A/S,IT,IT,IT568660456957,IT568660456957,format_invalide,Numero nettoye non conforme au format attendu pour le pays
741,Lusitania Services NV,PT,PT,PT33140676,PT33140676,format_invalide,Numero nettoye non conforme au format attendu pour le pays
742,Granit Technologies SARL,SE,SE,SE8311G1064101,SE8311G1064101,format_invalide,Numero nettoye non conforme au format attendu pour le pays
745,Nord Transports NV,NL,NL,NLJ41770579B78,NLJ41770579B78,format_invalide,Numero nettoye non conforme au format attendu pour le pays
751,Lusitania Trading SAS,XX,XX,XX854229981,XX854229981,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
768,Papyrus Consulting SAS,BE,BE,BEM915531452,BEM915531452,format_invalide,Numero nettoye non conforme au format attendu pour le pays
774,Global Distribution Sp. z o.o.,SE,SE,SE69166638490,SE69166638490,format_invalide,Numero nettoye non conforme au format attendu pour le pays
777,Papyrus Logistics A/S,SE,SE,SE-6547921566010,SE6547921566010,format_invalide,Numero nettoye non conforme au format attendu pour le pays
782,Hanse Transports GmbH,SE,SE,102863781501,102863781501,format_invalide,Numero nettoye non conforme au format attendu pour le pays
783,Textil Foods NV,SE,SE,550629771101,550629771101,format_invalide,Numero nettoye non conforme au format attendu pour le pays
789,Kappa Technologies GmbH,XX,XX,XX37149959266,XX37149959266,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
794,Verso Distribution Oy,QQ,QQ,QQ6297627899,QQ6297627899,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
795,Vertex Technologies Lda,PT,PT,PT49370154,PT49370154,format_invalide,Numero nettoye non conforme au format attendu pour le pays
798,Baltic Logistics GmbH,PT,PT,520614305,520614305,format_invalide,Numero nettoye non conforme au format attendu pour le pays
801,Kappa Distribution GmbH,FI,FI,25307340,25307340,format_invalide,Numero nettoye non conforme au format attendu pour le pays
807,Verso Foods A/S,NL,NL,NL360867340B104,NL360867340B104,format_invalide,Numero nettoye non conforme au format attendu pour le pays
815,Granit Trading SARL,IT,IT,IT687109213691,IT687109213691,format_invalide,Numero nettoye non conforme au format attendu pour le pays
816,Baltic Foods BV,PT,PT,PT85259984,PT85259984,format_invalide,Numero nettoye non conforme au format attendu pour le pays
817,Verso Logistics NV,PL,PL,9912394884,9912394884,format_invalide,Numero nettoye non conforme au format attendu pour le pays
819,Delta Materials AB,BE,BE,1535023416,1535023416,format_invalide,Numero nettoye non conforme au format attendu pour le pays
820,Metallo Distribution Oy,SE,SE,SE10063118210H,SE10063118210H,format_invalide,Numero nettoye non conforme au format attendu pour le pays
821,Granit Foods BV,DK,DK, ,,numero_tva_absent,Numero TVA absent
831,Atlantic Foods SARL,QQ,QQ,QQ954863715701,QQ954863715701,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
835,Ardent Services A/S,PL,PL,PL41185523863,PL41185523863,format_invalide,Numero nettoye non conforme au format attendu pour le pays
838,Solaris Trading NV,DK,DK,null,NULL,numero_tva_absent,Numero TVA absent
849,Vertex Materials AB,UK,UK,UK949812293,UK949812293,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
851,Papyrus Materials SARL,NL,NL,NL448602477B157,NL448602477B157,format_invalide,Numero nettoye non conforme au format attendu pour le pays
853,Meridian Materials A/S,FI,FI,11015857,11015857,format_invalide,Numero nettoye non conforme au format attendu pour le pays
859,Vertex Consulting Sp. z o.o.,FR,FR,FR365K0339166,FR365K0339166,format_invalide,Numero nettoye non conforme au format attendu pour le pays
860,Vela Materials A/S,UK,UK,UK83124112,UK83124112,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
861,Azur Technologies SAS,NL,NL,425112330B49,425112330B49,format_invalide,Numero nettoye non conforme au format attendu pour le pays
874,Fabrica Consulting SAS,FR,FR,30776536416,30776536416,format_invalide,Numero nettoye non conforme au format attendu pour le pays
876,Vela Technologies Sp. z o.o.,QQ,QQ,QQ484748190,QQ484748190,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
879,Delta Distribution GmbH,IT,IT,IT277263524647,IT277263524647,format_invalide,Numero nettoye non conforme au format attendu pour le pays
880,Fabrica Distribution AB,LU,LU,LU691465245,LU691465245,format_invalide,Numero nettoye non conforme au format attendu pour le pays
901,Meridian Technologies Sp. z o.o.,NL,NL,84-3131032B77,843131032B77,format_invalide,Numero nettoye non conforme au format attendu pour le pays
902,Verso Materials SAS,NL,NL,727213994B55,727213994B55,format_invalide,Numero nettoye non conforme au format attendu pour le pays
904,Kappa Logistics SA,NL,NL,-,,numero_tva_absent,Numero TVA absent
906,Ardent Materials SARL,FI,FI,FI 9430 97619,FI943097619,format_invalide,Numero nettoye non conforme au format attendu pour le pays
908,Papyrus Materials NV,IT,IT,IT340332768402,IT340332768402,format_invalide,Numero nettoye non conforme au format attendu pour le pays
910,Textil Trading Sp. z o.o.,BE,BE,,,numero_tva_absent,Numero TVA absent
919,Vela Technologies SARL,NL,NL,NL6132922G5B31,NL6132922G5B31,format_invalide,Numero nettoye non conforme au format attendu pour le pays
920,Meridian Logistics BV,NL,NL,-,,numero_tva_absent,Numero TVA absent
926,Hanse Consulting Lda,SE,SE,SE0439877721013,SE0439877721013,format_invalide,Numero nettoye non conforme au format attendu pour le pays
929,Nord Technologies Lda,DK,DK,DK6975271,DK6975271,format_invalide,Numero nettoye non conforme au format attendu pour le pays
931,Meridian Trading BV,PT,PT,129297011,129297011,format_invalide,Numero nettoye non conforme au format attendu pour le pays
936,Alpine Industries Sp. z o.o.,FR,FR,FR366441358808,FR366441358808,format_invalide,Numero nettoye non conforme au format attendu pour le pays
938,Prima Transports BV,BE,BE,,,numero_tva_absent,Numero TVA absent
942,Prima Logistics Oy,XX,XX,XX4092735087,XX4092735087,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
945,Verso Distribution Oy,IT,IT,IT3579O361582,IT3579O361582,format_invalide,Numero nettoye non conforme au format attendu pour le pays
946,Baltic Distribution SARL,QQ,QQ,QQ99135169,QQ99135169,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
