source_id,raison_sociale,pays_declare_brut,pays_declare_normalise,numero_tva_brut,numero_tva_nettoye,structure_verdict,structure_reason,final_verdict,final_origin,checked_at,freshness_days,needs_human_review,needs_vies_verification,review_reason
152,Delta Trading Sp. z o.o.,ZZ,ZZ,ZZ06520766,ZZ06520766,review,pays_hors_referentiel_ue,indetermine,structural_reject,,,True,False,Code pays absent du référentiel UE local
153,Azur Foods Lda,BE,BE,BE0187972912,BE0187972912,valid,ok_structure,indetermine,pending_vies,,,,True,
154,Papyrus Foods SpA,IT,IT,IT43831226378,IT43831226378,valid,ok_structure,indetermine,pending_vies,,,,True,
155,Vertex Consulting Lda,SE,SE,SE99296861790,SE99296861790,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
156,Metallo Transports AB,BE,BE,BE-1541337423,BE1541337423,valid,ok_structure,indetermine,pending_vies,,,,True,
157,Lusitania Technologies NV,LU,LU,LU83019402,LU83019402,valid,ok_structure,indetermine,pending_vies,,,,True,
158,Ardent Transports SARL,BE,BE,BE0992862406,BE0992862406,valid,ok_structure,indetermine,pending_vies,,,,True,
159,Nord Industries SA,PT,PT,PT755024877,PT755024877,valid,ok_structure,indetermine,pending_vies,,,,True,
160,Meridian Consulting SA,PT,PT,PT327020482,PT327020482,valid,ok_structure,indetermine,pending_vies,,,,True,
161,Batavia Foods SpA,BE,BE,BE0761440201,BE0761440201,valid,ok_structure,indetermine,pending_vies,,,,True,
162,Hanse Transports SpA,DK,DK,dk65315092,DK65315092,valid,ok_structure,indetermine,pending_vies,,,,True,
163,Solaris Trading AB,IT,IT,38486825359,38486825359,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
164,Delta Distribution NV,FI,FI,FI99952131,FI99952131,valid,ok_structure,indetermine,pending_vies,,,,True,
165,Solaris Trading NV,SE,SE,SE.923117665301,SE923117665301,valid,ok_structure,indetermine,pending_vies,,,,True,
166,Lusitania Foods AB,FR,FR,FRH3842670445,FRH3842670445,valid,ok_structure,indetermine,pending_vies,,,,True,
167,Azur Consulting AB,DK,DK,DK87G17730,DK87G17730,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
168,Granit Trading BV,DK,DK,DK663574817,DK663574817,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
169,Lumen Foods SpA,IT,IT,IT1890180302,IT1890180302,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
170,Cobalt Foods Lda,FR,FR,FR-38430871616,FR38430871616,valid,ok_structure,indetermine,pending_vies,,,,True,
171,Solaris Distribution SA,DK,DK,DK.29918767,DK29918767,valid,ok_structure,indetermine,pending_vies,,,,True,
172,Batavia Consulting SA,IT,IT,  IT80179767894 ,IT80179767894,valid,ok_structure,indetermine,pending_vies,,,,True,
173,Hanse Services Oy,FR,FR,FR30907512024,FR30907512024,valid,ok_structure,indetermine,pending_vies,,,,True,
174,Lusitania Logistics A/S,PL,PL,pl5540309330,PL5540309330,valid,ok_structure,indetermine,pending_vies,,,,True,
175,Lumen Logistics SAS,SE,SE,SE394975617901,SE394975617901,valid,ok_structure,indetermine,pending_vies,,,,True,
176,Kappa Distribution A/S,NL,NL,NL-689141166B02,NL689141166B02,valid,ok_structure,indetermine,pending_vies,,,,True,
177,Papyrus Industries Oy,DK,DK,DK41917126,DK41917126,valid,ok_structure,indetermine,pending_vies,,,,True,
178,Kappa Logistics NV,PL,PL,PL2996896510,PL2996896510,valid,ok_structure,indetermine,pending_vies,,,,True,
179,Verso Transports SA,FR,FR,FR39172019809,FR39172019809,valid,ok_structure,indetermine,pending_vies,,,,True,
180,Cobalt Consulting A/S,PL,PL,PL 5279 293795,PL5279293795,valid,ok_structure,indetermine,pending_vies,,,,True,
181,Alpine Services Lda,IT,IT,33139885439,33139885439,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
182,Vertex Consulting SA,IT,IT,IT 7249 2360010,IT72492360010,valid,ok_structure,indetermine,pending_vies,,,,True,
183,Global Materials BV,UK,UK,UK558680011,UK558680011,review,pays_hors_perimetre_vies,indetermine,structural_reject,,,True,False,Pays présent dans le fichier mais hors Union européenne
184,Vertex Logistics SA,SE,SE,SE9682668794H1,SE9682668794H1,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
185,Lusitania Technologies Sp. z o.o.,SE,SE,SE334202255901,SE334202255901,valid,ok_structure,indetermine,pending_vies,,,,True,
186,Granit Transports BV,LU,LU,LU62557886,LU62557886,valid,ok_structure,indetermine,pending_vies,,,,True,
187,Corvus Materials SA,BE,BE,BE0559538362,BE0559538362,valid,ok_structure,indetermine,pending_vies,,,,True,
188,Verso Materials SpA,FI,FI,FI04531570,FI04531570,valid,ok_structure,indetermine,pending_vies,,,,True,
189,Corvus Consulting NV,IT,IT,88838354509,88838354509,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
190,Granit Technologies Lda,FR,FR,FR86227468840,FR86227468840,valid,ok_structure,indetermine,pending_vies,,,,True,
191,Ardent Consulting GmbH,PL,PL,PL599561905,PL599561905,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
192,Metallo Consulting Sp. z o.o.,DK,DK,DK03190056,DK03190056,valid,ok_structure,indetermine,pending_vies,,,,True,
193,Prima Transports GmbH,PL,PL,PL93184850G3,PL93184850G3,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
194,Azur Transports SpA,IT,IT,IT64184964091,IT64184964091,valid,ok_structure,indetermine,pending_vies,,,,True,
195,Prima Consulting Sp. z o.o.,SE,SE,107327005801,107327005801,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
196,Granit Technologies SAS,PT,PT,PT411011570,PT411011570,valid,ok_structure,indetermine,pending_vies,,,,True,
197,Atlantic Trading SAS,IT,IT,IT64177915343,IT64177915343,valid,ok_structure,indetermine,pending_vies,,,,True,
198,Hanse Foods Oy,NL,NL,NL599032777B33,NL599032777B33,valid,ok_structure,indetermine,pending_vies,,,,True,
199,Ardent Technologies GmbH,DK,DK,DK46441575,DK46441575,valid,ok_structure,indetermine,pending_vies,,,,True,
200,Global Services GmbH,BE,BE,BE-183858570,BE183858570,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
201,SA ORANGE,FR,FR,FR89380129866,FR89380129866,valid,ok_structure,indetermine,pending_vies,,,,True,
202,Papyrus Distribution GmbH,NL,NL,NL689759071B19,NL689759071B19,valid,ok_structure,indetermine,pending_vies,,,,True,
203,Textil Materials SAS,SE,SE,SE230177355801,SE230177355801,valid,ok_structure,indetermine,pending_vies,,,,True,
204,Fabrica Foods Sp. z o.o.,DK,DK,DK07249330,DK07249330,valid,ok_structure,indetermine,pending_vies,,,,True,
205,Meridian Trading SAS,DK,DK,DK51729846,DK51729846,valid,ok_structure,indetermine,pending_vies,,,,True,
206,Alpine Services SAS,DK,DK,DK38992864,DK38992864,valid,ok_structure,indetermine,pending_vies,,,,True,
207,Baltic Logistics SA,FI,FI,FI97243485,FI97243485,valid,ok_structure,indetermine,pending_vies,,,,True,
208,Ardent Foods Lda,NL,NL,NL546150676B98,NL546150676B98,valid,ok_structure,indetermine,pending_vies,,,,True,
209,Meridian Services SAS,PL,PL,PL9456980487,PL9456980487,valid,ok_structure,indetermine,pending_vies,,,,True,
210,Hanse Trading AB,FR,FR,FR876M3653073,FR876M3653073,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
211,Azur Industries AB,PL,PL,PL9176672276,PL9176672276,valid,ok_structure,indetermine,pending_vies,,,,True,
212,Delta Consulting A/S,LU,LU,LU893H3823,LU893H3823,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
213,Orion Logistics Lda,PT,PT,PT921472579,PT921472579,valid,ok_structure,indetermine,pending_vies,,,,True,
