Rapport vérification VIES phase 2
358 IT74150737869: invalide (94 ms)
359 SE489012371601: invalide (520 ms)
360 FR47608589781: invalide (117 ms)
361 PT925515736: invalide (355 ms)
362 FR41641463758: invalide (100 ms)
363 NL446369068B77: invalide (295 ms)
364 PL9694290163: invalide (190 ms)
365 DK26608382: invalide (98 ms)
366 SE754967460901: invalide (307 ms)
367 BE1873732271: invalide (124 ms)
368 FI38185951: invalide (89 ms)
369 SE217443620001: invalide (342 ms)
370 FR07927950660: invalide (100 ms)
371 PL3964079045: invalide (185 ms)
372 DK70736926: invalide (1897 ms)
373 NL895140202B59: invalide (351 ms)
374 DK42850306: invalide (3023 ms)
375 PT543484521: invalide (138 ms)
376 IT09880866133: invalide (100 ms)
377 IT13617604947: invalide (73 ms)
378 IT43733260608: invalide (374 ms)
379 PT881184381: invalide (131 ms)
380 LU74757160: invalide (86 ms)
381 SE625237694601: invalide (91 ms)
382 FR30169495866: invalide (103 ms)
383 DK98977503: invalide (1739 ms)
384 NL684729362B93: invalide (395 ms)
385 LU59108334: invalide (87 ms)
386 FR61485544639: invalide (130 ms)
387 BE0357560014: invalide (175 ms)
388 SE019994435601: invalide (336 ms)
389 IT23813958578: invalide (78 ms)
390 IT31032612462: invalide (98 ms)
391 NL774007631B52: invalide (223 ms)
392 FR09172480258: invalide (127 ms)
393 SE434897001501: invalide (345 ms)
394 PT307965481: invalide (353 ms)
395 DK64566130: invalide (100 ms)
396 DK42075442: valide (3139 ms)
397 NL941015866B85: invalide (96 ms)
398 SE742295868101: invalide (618 ms)
399 IT73696792354: invalide (103 ms)
400 FI97041983: invalide (433 ms)
Batch 5: 37 candidat(s) chargé(s), sauvegarde en base après chaque résultat.
401 BE1128721593: invalide (752 ms)
402 PL8087611568: invalide (246 ms)
403 PT417446792: invalide (147 ms)
404 NL166353085B61: invalide (543 ms)
405 PT734607378: invalide (98 ms)
406 PL6939489862: invalide (263 ms)
407 PT905418824: invalide (449 ms)
408 PL6709190361: invalide (182 ms)
409 IT31301109414: invalide (72 ms)
410 BE0462982186: invalide (73 ms)
411 LU72353655: invalide (462 ms)
412 DK62994096: invalide (4932 ms)
413 FR75153894013: invalide (116 ms)
414 NL649435382B98: invalide (138 ms)
415 DK54092504: invalide (4091 ms)
416 IT35458690753: invalide (263 ms)
417 LU64090415: invalide (117 ms)
418 PT129670375: invalide (270 ms)
419 DK31019222: invalide (3750 ms)
420 PT764818934: invalide (84 ms)
421 FI07462360: invalide (76 ms)
422 SE538344367701: invalide (514 ms)
423 DK30825357: invalide (3627 ms)
424 BE0728581846: invalide (2005 ms)
425 NL956716933B37: invalide (355 ms)
426 SE646275880301: invalide (381 ms)
427 PL4888034196: invalide (177 ms)
428 FI30649863: invalide (336 ms)
429 SE744347222501: invalide (320 ms)
430 SE779153789201: invalide (359 ms)
431 PL7912578287: invalide (171 ms)
432 BE0667627145: invalide (127 ms)
433 LU87838948: invalide (122 ms)
434 PT772064113: invalide (136 ms)
435 PT714332224: invalide (132 ms)
436 LU98154452: invalide (89 ms)
437 FI53300336: invalide (76 ms)
